,spa,fre
0,aboliða,aboli
1,aboliðo,aboli
2,abɾil,avʁil
3,absoluta,absoly
4,abstɾakta,abstʁɛt
5,absuɾðo,absyʁd
6,akaðemjas,akademi
7,akaðemiko,akademik
8,aksesible,aksɛsibl
9,aksiðental,aksidɑ̃tɛl
10,aksiðentalmente,aksidɑ̃tɛləmɑ̃
11,asepta,aksɛpt
12,aseptaɾ,aksɛpte
13,akompaɲaɾ,akɔ̃paɲe
14,aktituðes,atityd
15,aktibaðo,aktive
16,aktibamente,aktivəmɑ̃
17,aktibos,aktif
18,aktos,akt
19,akwaɾjo,akwaʁjɔm
20,akweɾðos,akɔʁ
21,akusasiones,akyzasjɔ̃
22,aðaptasiones,adaptasjɔ̃
23,aðministɾaðoɾ,administʁatœʁ
24,aðministɾaðoɾes,administʁatœʁ
25,aðministɾatiba,administʁativ
26,aðministɾatibamente,administʁativəmɑ̃
27,aðministɾatibas,administʁativ
28,aðmiɾasion,admiʁasjɔ̃
29,aðolessentes,adolɛsɑ̃
30,aðkisisiones,akizisjɔ̃
31,aðwana,dwan
32,aðwanas,dwan
33,aeɾopweɾtos,aeʁopɔʁ
34,afɣano,afɡɑ̃
35,afɾikano,afʁikɛ̃
36,axensias,aʒɑ̃s
37,aɣɾesiba,aɡʁɛsiv
38,aɣɾesibo,aɡʁɛsif
39,aɣɾikultoɾes,aɡʁikyltœʁ
40,aɣɾikola,aɡʁikɔl
41,albanesa,albanɛz
42,alemanas,aləmɑ̃d
43,alemanes,aləmɑ̃
44,aleman,aləmɑ̃
45,alimentaða,alimɑ̃te
46,alimentaɾja,alimɑ̃tɛʁ
47,altamente,otəmɑ̃
48,alteɾna,altɛʁn
49,alteɾnansia,altɛʁnɑ̃s
50,alteɾnatiba,altɛʁnativ
51,alteɾnatibas,altɛʁnativ
52,amenasaɾ,mənase
53,ameɾikanos,ameʁikɛ̃
54,amiɣas,ami
55,analista,analist
56,analistas,analist
57,analoxia,analoʒi
58,analitikos,analitik
59,analoxikas,analoʒik
60,anaɾkistas,anaʁʃist
61,anɣlikano,ɑ̃ɡlikɑ̃
62,anɣlosaxona,ɑ̃ɡlo-saksɔn
63,anɣlosaxones,ɑ̃ɡlo-saksɔ̃
64,anɣlosaxon,ɑ̃ɡlo-saksɔ̃
65,anxelika,ɑ̃ʒelik
66,animaðos,anime
67,animal,animal
68,anibeɾsaɾjo,anivɛʁsɛʁ
69,antaɣonistas,ɑ̃taɡonist
70,antenas,ɑ̃tɛn
71,antibjotikos,ɑ̃tibjotik
72,antisipaða,ɑ̃tisipe
73,antisipaðas,ɑ̃tisipe
74,antikweɾpos,ɑ̃tikɔʁ
75,antisemitas,ɑ̃tisemit
76,antɾopoloxia,ɑ̃tʁopoloʒi
77,antɾopoloɣo,ɑ̃tʁopolɔɡ
78,anwal,ɑnɥɛl
79,anwales,ɑnɥɛl
80,apaɾentemente,apaʁamɑ̃
81,apɾenden,apʁɛn
82,apɾopjaðos,apʁopʁije
83,aɾbitɾaɾja,aʁbitʁɛʁ
84,aɾt͡ʃibos,aʁʃiv
85,aɾmaðos,aʁme
86,aɾmamentos,aʁməmɑ̃
87,aɾmas,aʁm
88,aɾomas,aʁom
89,arestos,aʁɛstasjɔ̃
90,aɾteɾjal,aʁteʁjɛl
91,aɾteɾjas,aʁtɛʁ
92,aɾtesanal,aʁtizanal
93,aɾtesanales,aʁtizanal
94,aɾtifisialmente,aʁtifisjɛləmɑ̃
95,aɾtistas,aʁtist
96,aɾtistikas,aʁtistik
97,asalaɾjaðos,salaʁje
98,asesinos,asasɛ̃
99,asistentes,asistɑ̃
100,aspektos,aspɛ
101,astɾonauta,astʁonot
102,astɾonomika,astʁonomik
103,astɾonomikas,astʁonomik
104,atentaðos,atɑ̃ta
105,atletas,atlɛt
106,atmosfeɾikos,atmosfeʁik
107,atɾibutos,atʁiby
108,ausente,absɑ̃
109,austɾaljano,ostʁaljɛ̃
110,autobuses,otobys
111,automatika,otomatik
112,automatikamente,otomatikmɑ̃
113,automobil,otomobil
114,autoɾes,otœʁ
115,autoɾiðaðes,otoʁite
116,autoɾisaðo,otoʁize
117,autoɾisaðos,otoʁize
118,abentuɾa,avɑ̃tyʁ
119,abjon,avjɔ̃
120,aksjomas,aksjom
121,aeɾeos,aeʁjɛ̃
122,bakteɾja,bakteʁi
123,balansa,balɑ̃s
124,balas,bal
125,balkon,balkɔ̃
126,baʝenas,balɛn
127,balon,balɔ̃
128,bankaɾjas,bɑ̃kɛʁ
129,bandiðos,bɑ̃di
130,bankeɾo,bɑ̃kje
131,bankeɾos,bɑ̃kje
132,baɾba,baʁb
133,baɾones,baʁɔ̃
134,barikaðas,baʁikad
135,bastjones,bastjɔ̃
136,bataʝa,bataj
137,bataʝas,bataj
138,bataʝon,batajɔ̃
139,bateɾija,batəʁi
140,belɣas,bɛlʒ
141,beneðiktina,benediktin
142,benefisiaɾjo,benefisjɛʁ
143,bibljoteka,biblijɔtɛk
144,biʝetes,bijɛ
145,bjoðibeɾsiðað,bjodivɛʁsite
146,bjoloxia,bjoloʒi
147,bjoloxikas,bjoloʒik
148,bjomasa,bjomas
149,bisantinas,bizɑ̃tin
150,blanka,blɑ̃ʃ
151,blankos,blɑ̃
152,blindaðo,blɛ̃de
153,blindaðos,blɛ̃de
154,blokea,blɔk
155,blokeaɾ,bloke
156,boikot,bɔjkɔt
157,bolt͡ʃebikes,bɔlʃevik
158,boletin,bylətɛ̃
159,bombaɾðeaðo,bɔ̃baʁde
160,bombaɾðeo,bɔ̃baʁdəmɑ̃
161,bombaɾðeos,bɔ̃baʁdəmɑ̃
162,bombaɾðeɾos,bɔ̃baʁdje
163,boɾðean,bɔʁd
164,botas,bɔt
165,boteʝa,butɛj
166,boteʝas,butɛj
167,bɾebemente,bʁijɛvəmɑ̃
168,bɾiɣaða,bʁiɡadje
169,bɾiɣaðas,bʁiɡad
170,bɾiʝa,bʁij
171,bɾutal,bʁytal
172,buðismo,budism
173,bufon,bufɔ̃
174,bulɣaɾa,bylɡaʁ
175,bulɣaɾos,bylɡaʁ
176,bunkeɾ,bunkɛʁ
177,kabina,kabin
178,kaðabeɾ,kadavʁ
179,kalkulaða,kalkyle
180,kalendaɾjos,kalɑ̃dʁije
181,kaloɾ,ʃalœʁ
182,kalbaɾjo,kalvɛʁ
183,kamaɾaðas,kamaʁad
184,kampaɲas,kɑ̃paɲ
185,kampeon,ʃɑ̃pjɔ̃
186,kansiones,ʃɑ̃sɔ̃
187,kandiðata,kɑ̃didat
188,kandiðato,kɑ̃dida
189,kandiðatuɾas,kɑ̃didatyʁ
190,kanonisasion,kanonizasjɔ̃
191,kantan,ʃɑ̃t
192,kantones,kɑ̃tɔ̃
193,kantoɾ,ʃɑ̃tʁ
194,kanton,kɑ̃tɔ̃
195,kapiʝas,ʃapɛl
196,kapitales,kapito
197,kapitalismo,kapitalism
198,kapitalista,kapitalist
199,kapitanes,kapitɛn
200,kaɾabineɾos,kaʁabinje
201,kaɾakteɾisa,kaʁakteʁiz
202,kaɾakteɾisasion,kaʁakteʁizasjɔ̃
203,kaɾakteɾisan,kaʁakteʁiz
204,kaɾakteɾisaɾ,kaʁakteʁize
205,kaɾakteɾistikas,kaʁakteʁistik
206,kaɾbono,kaʁbɔn
207,kaɾbon,ʃaʁbɔ̃
208,kaɾɣa,ʃaʁʒ
209,kaɾɣas,ʃaʁʒ
210,kaɾisma,kaʁism
211,kaɾismatiko,kaʁismatik
212,kaɾniboɾos,kaʁnivɔʁ
213,kareɾa,kaʁjɛʁ
214,kaɾtoɣɾafja,kaʁtoɡʁafi
215,kaɾtut͡ʃos,kaʁtuʃ
216,kasta,kast
217,katalan,katalɑ̃
218,katastɾo,kadastʁ
219,katesismo,kateʃism
220,kateðɾales,katedʁal
221,kateɣoɾja,kateɡoʁi
222,katoɾse,katɔʁz
223,katastɾofe,katastʁɔf
224,katastɾofes,katastʁɔf
225,kaɲones,kanɔ̃
226,selulaɾ,sɛlylɛʁ
227,semento,simɑ̃
228,sensuɾa,sɑ̃syʁ
229,sentɾalisaðo,sɑ̃tʁalize
230,sentɾo,sɑ̃tʁ
231,seɾeales,seʁeal
232,seɾemonjas,seʁemoni
233,seɾesas,səʁiz
234,seɾtifikaðo,sɛʁtifika
235,t͡ʃampan,ʃɑ̃paɲ
236,t͡ʃilena,ʃiljɛn
237,t͡ʃileno,ʃiljɛ̃
238,t͡ʃinas,ʃinwaz
239,t͡ʃino,ʃinwa
240,t͡ʃipɾjota,ʃipʁijɔt
241,t͡ʃokes,ʃɔk
242,siklismo,siklism
243,siensia,sjɑ̃s
244,siensias,sjɑ̃s
245,sientifikos,sjɑ̃tifik
246,sieɾta,sɛʁtɛn
247,sintuɾones,sɛ̃tyʁ
248,sinetika,sinetik
249,siɾkwito,siʁkɥi
250,siɾkwitos,siʁkɥi
251,siɾkulasion,siʁkylasjɔ̃
252,siɾkulaɾ,siʁkyle
253,siɾkunstansias,siʁkɔ̃stɑ̃s
254,klandestinamente,klɑ̃dɛstinəmɑ̃
255,klandestiniðað,klɑ̃dɛstinite
256,klandestinos,klɑ̃dɛstɛ̃
257,klaɾamente,klɛʁəmɑ̃
258,klaɾas,klɛʁ
259,klaɾos,klɛʁ
260,klabos,klu
261,klemensia,klemɑ̃s
262,kljentela,klijɑ̃tɛl
263,klima,klima
264,kloɾo,klɔʁ
265,kloɾuɾo,kloʁyʁ
266,koalision,koalisjɔ̃
267,kokaina,kokain
268,kokoðɾilo,kʁokodil
269,kokoðɾilos,kʁokodil
270,koefisientes,koɛfisjɑ̃
271,koeɾente,koeʁɑ̃t
272,koesjon,koezjɔ̃
273,kolinas,kolin
274,kolisjon,kolizjɔ̃
275,kolombjana,kolɔ̃bjɛn
276,kolonjal,kolonjal
277,kolonjalismo,kolonjalism
278,kolonisasion,kolonizasjɔ̃
279,kolonisaðo,kolonize
280,koloɾantes,koloʁɑ̃
281,koloɾiðo,koloʁe
282,komandante,komɑ̃dɑ̃
283,komandantes,komɑ̃dɑ̃
284,komando,komɑ̃do
285,kombina,kɔ̃bin
286,kombinasiones,kɔ̃binɛzɔ̃
287,kombustjon,kɔ̃bystjɔ̃
288,komentaɾistas,komɑ̃tatœʁ
289,komeɾsialisaða,komɛʁsjalize
290,komeɾsialisaɾ,komɛʁsjalize
291,komisaɾjos,komisɛʁ
292,komisjones,komisjɔ̃
293,kompaɾaɾ,kɔ̃paʁe
294,kompaɾatiba,kɔ̃paʁativ
295,kompatibiliðað,kɔ̃patibilite
296,kompatɾjota,kɔ̃patʁijɔt
297,kompensaɾ,kɔ̃pɑ̃se
298,kompetente,kɔ̃petɑ̃t
299,kompetisiones,kɔ̃petisjɔ̃
300,komplexa,kɔ̃plɛks
301,komplementan,kɔ̃plɛt
302,komplementaɾ,kɔ̃plete
303,komplementaɾjas,kɔ̃plemɑ̃tɛʁ
304,komplementos,kɔ̃plemɑ̃
305,kompleta,kɔ̃plɛt
306,komplikasiones,kɔ̃plikasjɔ̃
307,komplisiðað,kɔ̃plisite
308,komponen,kɔ̃poz
309,kompoɾtamjento,kɔ̃pɔʁtəmɑ̃
310,kompoɾtamjentos,kɔ̃pɔʁtəmɑ̃
311,komposisiones,kɔ̃posisjɔ̃
312,kompositoɾ,kɔ̃positœʁ
313,kompositoɾes,kɔ̃positœʁ
314,kompɾendeɾ,kɔ̃pʁɑ̃dʁ
315,kompɾensjon,kɔ̃pʁeɑ̃sjɔ̃
316,komunikasiones,komynikasjɔ̃
317,komunikasion,komynikasjɔ̃
318,komunistas,komynist
319,komunitaɾja,komynotɛʁ
320,komunitaɾjas,komynotɛʁ
321,komun,komyn
322,komunmente,komynemɑ̃
323,konsepto,kɔ̃sɛpt
324,konsesjonaɾjo,kɔ̃sɛsjonɛʁ
325,konsiensia,kɔ̃sjɑ̃s
326,konsieɾtos,kɔ̃sɛʁ
327,konsiljasion,kɔ̃siljasjɔ̃
328,konsiljaɾ,kɔ̃silje
329,konkɾetas,kɔ̃kʁɛt
330,kondenando,kɔ̃danɑ̃
331,kondensasion,kɔ̃dɑ̃sasjɔ̃
332,kondukta,kɔ̃dɥit
333,konduktibiðað,kɔ̃dyktivite
334,konduktoɾes,kɔ̃dyktœʁ
335,konfeðeɾasion,kɔ̃fedeʁasjɔ̃
336,konfjansa,kɔ̃fjɑ̃s
337,konfjeɾe,kɔ̃fɛʁ
338,konfjeɾen,kɔ̃fɛʁ
339,konfinamjento,kɔ̃finəmɑ̃
340,konfiɾma,kɔ̃fiʁm
341,konfiɾmaðo,kɔ̃fiʁme
342,konfiɾmaɾ,kɔ̃fiʁme
343,konfiskasion,kɔ̃fiskasjɔ̃
344,konflikto,kɔ̃fli
345,konfliktos,kɔ̃fli
346,konfɾontasiones,kɔ̃fʁɔ̃tasjɔ̃
347,konfɾontaɾ,kɔ̃fʁɔ̃te
348,konfusjones,kɔ̃fyzjɔ̃
349,konfusjon,kɔ̃fyzjɔ̃
350,konmemoɾatibas,komemoʁativ
351,konkista,kɔ̃kɛt
352,konsaɣɾasion,kɔ̃sekʁasjɔ̃
353,konsekutibo,kɔ̃sekytiv
354,konsekutibos,kɔ̃sekytiv
355,konsexeɾos,kɔ̃sɛje
356,konsexo,kɔ̃sɛj
357,konsenso,kɔ̃sɑ̃sys
358,konsentimjento,kɔ̃sɑ̃tmɑ̃
359,konseɾbasion,kɔ̃sɛʁvasjɔ̃
360,konseɾbaðoɾ,kɔ̃sɛʁvatœʁ
361,konsiðeɾables,kɔ̃sideʁabl
362,konsiðeɾasiones,kɔ̃sideʁasjɔ̃
363,konsiðeɾando,kɔ̃sideʁɑ̃
364,konsoliðasion,kɔ̃solidasjɔ̃
365,konspiɾasion,kɔ̃spiʁasjɔ̃
366,konstitwiðos,kɔ̃stitɥe
367,konstɾuksion,kɔ̃stʁyksjɔ̃
368,konsulaðo,kɔ̃syla
369,konsultaðo,kɔ̃sylte
370,konsultaɾ,kɔ̃sylte
371,konsultibo,kɔ̃syltatif
372,konsumen,kɔ̃sɔm
373,kontempoɾaneas,kɔ̃tɑ̃poʁɛn
374,konteneðoɾes,kɔ̃tənœʁ
375,konteksto,kɔ̃tɛkst
376,kontjene,kɔ̃tjɛ̃
377,kontinental,kɔ̃tinɑ̃tal
378,kontinente,kɔ̃tinɑ̃
379,kontinentes,kɔ̃tinɑ̃
380,kontɾabando,kɔ̃tʁəbɑ̃d
381,kontɾaksion,kɔ̃tʁaksjɔ̃
382,kontɾaðiktoɾja,kɔ̃tʁadiktwaʁ
383,kontɾasta,kɔ̃tʁast
384,kontɾato,kɔ̃tʁa
385,kontɾatos,kɔ̃tʁa
386,kontɾolan,kɔ̃tʁol
387,kontɾolaɾ,kɔ̃tʁole
388,kontɾoles,kɔ̃tʁol
389,kontɾobeɾtiðas,kɔ̃tʁovɛʁse
390,kontɾobeɾtiðo,kɔ̃tʁovɛʁse
391,konbensional,kɔ̃vɑ̃sjonɛl
392,konbeɾxen,kɔ̃vɛʁʒ
393,konbeɾxensia,kɔ̃vɛʁʒɑ̃s
394,konbiksion,kɔ̃viksjɔ̃
395,koopeɾaɾ,koopeʁe
396,koopeɾatibas,koopeʁativ
397,kooɾðinaɾ,koɔʁdone
398,kopjas,kopi
399,koɾðon,kɔʁdɔ̃
400,koɾeana,koʁeɛn
401,koɾona,kuʁɔn
402,koreksiones,koʁɛksjɔ̃
403,korexiɾ,koʁiʒe
404,korupsion,koʁypsjɔ̃
405,koɾsaɾjos,kɔʁsɛʁ
406,koɾtexo,kɔʁtɛʒ
407,koɾto,kuʁ
408,kosmopolita,kosmopolit
409,kosmetikos,kosmetik
410,koste,ku
411,kosteɾos,kotje
412,kostumbɾes,kutym
413,kɾepuskulo,kʁepyskyl
414,kɾjatuɾas,kʁeatyʁ
415,kɾimen,kʁim
416,kɾiminales,kʁiminɛl
417,kɾitikan,kʁitik
418,kɾoata,kʁoat
419,kɾoatas,kʁoat
420,kwalifikasion,kalifikasjɔ̃
421,kwantifikasion,kɑ̃tifikasjɔ̃
422,kwantitatiba,kɑ̃titativ
423,kwaɾtas,kaʁ
424,kubana,kybɛn
425,kubano,kybɛ̃
426,kubjeɾtos,kuvɛʁ
427,kubɾiɾ,kuvʁiʁ
428,kwestjones,kɛstjɔ̃
429,kulinaɾjas,kylinɛʁ
430,kulpabiliðað,kylpabilite
431,kultibaðo,kyltive
432,kultibaðos,kyltive
433,kultibaɾ,kyltive
434,kulto,kylt
435,kultuɾal,kyltyʁɛl
436,kultuɾales,kyltyʁɛl
437,kwotas,kota
438,kalkulo,kalkyl
439,kalkulos,kalkyl
440,komplise,kɔ̃plis
441,konsul,kɔ̃syl
442,konsules,kɔ̃syl
443,danes,danwa
444,dataðos,date
445,debate,deba
446,debates,deba
447,desenjos,deseni
448,desepsion,desɛpsjɔ̃
449,desiðe,desid
450,desiðen,desid
451,desiðiɾ,deside
452,desisjones,desizjɔ̃
453,desisibo,desizif
454,deklaɾasion,deklaʁasjɔ̃
455,deklaɾaɾ,deklaʁe
456,dekɾeto,dekʁɛ
457,dekɾetos,dekʁɛ
458,deðuksion,dedyksjɔ̃
459,defensas,defɑ̃s
460,defensibas,defɑ̃siv
461,definision,definisjɔ̃
462,definiðo,defini
463,definitibamente,definitivəmɑ̃
464,deɣustasion,deɡystasjɔ̃
465,delibeɾasiones,delibeʁasjɔ̃
466,delimitasion,delimitasjɔ̃
467,demaɾkasion,demaʁkasjɔ̃
468,demokɾatisasion,demokʁatizasjɔ̃
469,demostɾasiones,demɔ̃stʁasjɔ̃
470,demostɾasion,demɔ̃stʁasjɔ̃
471,demokɾata,demokʁat
472,demokɾatas,demokʁat
473,densamente,dɑ̃semɑ̃
474,densiðað,dɑ̃site
475,dentista,dɑ̃tist
476,depaɾtamento,depaʁtəmɑ̃
477,dependensia,depɑ̃dɑ̃s
478,depoɾtasion,depɔʁtasjɔ̃
479,depoɾte,spɔʁ
480,depoɾtibos,spɔʁtif
481,depɾesjon,depʁɛsjɔ̃
482,desastɾosa,dezastʁœz
483,deskalifikasion,diskalifikasjɔ̃
484,deskomposision,dekɔ̃pozisjɔ̃
485,deskɾipsion,dɛskʁipsjɔ̃
486,desespeɾaðamente,dezɛspeʁemɑ̃
487,desfaboɾables,defavoʁabl
488,desjeɾto,dezɛʁ
489,desiɣnaba,deziɲɛ
490,desiɣnasion,deziɲasjɔ̃
491,desiɣnaðos,deziɲe
492,desmantelaðo,demɑ̃təle
493,destilasion,distilasjɔ̃
494,destinataɾjo,dɛstinatɛʁ
495,destinos,dɛstinasjɔ̃
496,destɾuktibo,dɛstʁyktœʁ
497,destɾwiðos,detʁɥi
498,destɾwiɾ,detʁɥiʁ
499,deteɾminante,detɛʁminɑ̃
500,deteɾminaɾ,detɛʁmine
501,detɾaktoɾes,detʁaktœʁ
502,detɾimento,detʁimɑ̃
503,djabetes,djabɛt
504,djaɣnostiko,djagnostik
505,djaɣɾama,djaɡʁɑm
506,djentes,dɑ̃
507,difamasion,difamasjɔ̃
508,difeɾensia,difeʁɑ̃s
509,difikultaðes,difikylte
510,difɾaksion,difʁaksjɔ̃
511,difunta,defɛ̃t
512,dixestibo,diʒɛstif
513,diɣnataɾjos,diɲitɛʁ
514,dimensjon,dimɑ̃sjɔ̃
515,dinamita,dinamit
516,dinosauɾjos,dinozɔʁ
517,diplomasia,diplomasi
518,diplomatika,diplomatik
519,diputasion,depytasjɔ̃
520,diɾeksion,diʁɛksjɔ̃
521,diɾekta,diʁɛkt
522,diɾektibas,diʁɛktiv
523,diɾekto,diʁɛkt
524,diɾektoɾ,diʁɛktœʁ
525,diɾektoɾes,diʁɛktœʁ
526,diɾixentes,diʁiʒɑ̃
527,dissiplinaɾjo,disiplinɛʁ
528,dissiplinas,disiplin
529,diskoɾðja,diskɔʁd
530,diskɾeto,diskʁɛ
531,diskɾiminasion,diskʁiminasjɔ̃
532,disiðensia,disidɑ̃s
533,disminusion,diminysjɔ̃
534,disolusion,disolysjɔ̃
535,dispeɾsjon,dispɛʁsjɔ̃
536,disponibiliðað,disponibilite
537,dispositibos,dispositif
538,disputaða,dispyte
539,disputan,dispyt
540,distansia,distɑ̃s
541,distɾibusion,distʁibysjɔ̃
542,distɾibwiða,distʁibɥe
543,distɾibwiðoɾ,distʁibytœʁ
544,distɾibwiðoɾes,distʁibytœʁ
545,distɾibwiɾ,distʁibye
546,dibeɾsifikaða,divɛʁsifje
547,dibiðe,diviz
548,dibina,divin
549,dibinas,divin
550,dibisas,dəviz
551,dibisjones,divisjɔ̃
552,diboɾsiaðo,divɔʁse
553,diboɾsio,divɔʁs
554,djaloɣo,djalɔɡ
555,doble,dubl
556,doktoɾaðo,dɔktoʁa
557,dokumental,dokymɑ̃tɛʁ
558,dokumento,dokymɑ̃
559,doloɾ,dulœʁ
560,domisiljo,domisil
561,dominasion,dominasjɔ̃
562,dominan,dominɑ̃
563,domestikos,domɛstik
564,donantes,donatœʁ
565,doɾmiðo,ɑ̃dɔʁmi
566,dotaɾ,dote
567,dɾamatikas,dʁamatik
568,dunas,dyn
569,dolaɾ,dolaʁ
570,ekonomistas,ekonomist
571,eðukatibos,edykatif
572,efikases,ɛfikas
573,exekusiones,ɛɡzekysjɔ̃
574,exekutiba,ɛɡzekytiv
